Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC_out,Electricity
1,1,0,0,0,5.6,2.1,0,5.6,0,0,91.05239681
1,1,1,0,0,5.6,2.6,0,5.6,0,0,88.96027138
1,1,2,0,0,5,2.1,0,5,0,0,87.29005009
1,1,3,0,0,6.1,2.1,0,6.1,0,0,85.88102841
1,1,4,0,0,6.1,2.1,0,6.1,0,0,91.63729065
1,1,5,0,0,6.1,2.1,0,6.1,0,0,90.2967409
1,1,6,0,0,6.1,2.1,0,6.1,0,0,128.2878185
1,1,7,1,8,6.1,0,7.967,2.247,2633.763,638.073,133.6925006
1,1,8,91,47,6.7,1.5,84.566,6.945,26235.143,23781.811,163.7066283
1,1,9,824,29,9.4,2.1,484.496,20.799,142991.531,137476.313,143.561528
1,1,10,901,53,12.2,0,685.182,39.024,190083.438,182957.578,182.6185971
1,1,11,938,72,13.9,1.5,818.749,37.7,230391,221715,212.319707
1,1,12,958,79,16.1,3.6,873.346,35.887,248401.906,238982.094,223.1453811
1,1,13,708,170,16.7,3.6,762.16,34.175,218514.016,210311.219,222.7373773
1,1,14,156,261,17.2,2.1,404.074,28.556,119144.945,114362.977,220.996403
1,1,15,12,179,17.2,1.5,195.241,22.55,59365.133,56177.883,217.2367648
1,1,16,24,70,16.7,2.1,84.835,17.765,26067.639,23617.746,217.597803
1,1,17,7,7,14.4,0,8.194,11.914,2478.587,485.726,195.5803869
1,1,18,0,0,12.2,1.5,0,12.2,0,0,199.1714874
1,1,19,0,0,11.1,1.5,0,11.1,0,0,178.0965743
1,1,20,0,0,10.6,0,0,10.6,0,0,167.9221413
1,1,21,0,0,8.9,0,0,8.9,0,0,151.5669721
1,1,22,0,0,8.3,2.6,0,8.3,0,0,93.97130743
1,1,23,0,0,6.7,2.6,0,6.7,0,0,127.3498379
1,2,0,0,0,6.1,2.1,0,6.1,0,0,101.2498544
1,2,1,0,0,5.6,2.1,0,5.6,0,0,92.28546916
1,2,2,0,0,5,3.1,0,5,0,0,91.44425005
1,2,3,0,0,5.6,2.6,0,5.6,0,0,90.68552071
1,2,4,0,0,5,2.1,0,5,0,0,97.15005572
1,2,5,0,0,3.9,0,0,3.9,0,0,95.97374858
1,2,6,0,0,4.4,0,0,4.4,0,0,145.5038551
1,2,7,53,8,4.4,0,18.768,1.011,5173.285,3130.957,152.332206
1,2,8,551,36,7.8,0,246.1,15.467,69327.008,65898.172,222.1285045
1,2,9,659,54,10.6,0,429.655,27.319,123465.57,118554.859,252.6127996
1,2,10,618,120,12.2,0,576.728,35.186,163491.156,157301.359,245.2057515
1,2,11,873,97,14.4,2.6,803.646,34.141,230237.156,221567.359,275.9596148
1,2,12,689,188,15.6,0,788.013,47.198,211756.531,203816.844,261.8281775
1,2,13,388,274,16.1,0,619.915,42.469,170753.406,164314.797,263.1139037
1,2,14,596,202,17.2,1.5,653.626,36.191,184761.422,177828.406,261.7667044
1,2,15,186,160,16.7,2.6,283.115,23.964,84422.516,80609.18,258.049401
1,2,16,21,89,15.6,4.1,103.767,16.958,32121.229,29545.311,255.7861389
1,2,17,3,6,13.9,0,6.381,11.566,1982.167,0,259.1622907
1,2,18,0,0,12.2,3.1,0,12.2,0,0,257.0220262
1,2,19,0,0,10.6,0,0,10.6,0,0,244.6177048
1,2,20,0,0,10,0,0,10,0,0,216.299472
1,2,21,0,0,9.4,0,0,9.4,0,0,154.954551
1,2,22,0,0,8.9,0,0,8.9,0,0,99.33787028
1,2,23,0,0,8.3,1.5,0,8.3,0,0,132.4827431
1,3,0,0,0,7.8,2.1,0,7.8,0,0,104.777719
1,3,1,0,0,6.7,1.5,0,6.7,0,0,95.92085697
1,3,2,0,0,6.7,2.6,0,6.7,0,0,95.53289957
1,3,3,0,0,6.1,0,0,6.1,0,0,95.21007659
1,3,4,0,0,5.6,0,0,5.6,0,0,119.8238988
1,3,5,0,0,5,1.5,0,5,0,0,119.7519219
1,3,6,0,0,5,2.1,0,5,0,0,171.1407424
1,3,7,55,4,5,0,15.256,1.425,3947.47,1927.732,174.5501246
1,3,8,543,41,6.1,2.6,250.42,10.681,72304.25,68801.336,235.4761661
1,3,9,745,46,8.9,4.1,462.499,17.972,138542.328,133168.125,264.760894
1,3,10,786,92,11.1,3.1,656.784,26.22,194175.875,186899.844,259.0038343
1,3,11,759,128,12.8,2.1,754.588,32.892,217601.828,209434.813,285.37617
1,3,12,769,133,15,0,794.377,46.57,214102.781,206072.234,271.385141
1,3,13,489,193,15.6,0,616.013,41.922,170022.578,163609.25,269.3222997
1,3,14,20,217,15.6,0,236.249,28.264,69963.773,66519.172,263.9200692
1,3,15,0,113,15.6,1.5,112.02,17.804,34858.453,32224.383,260.7001412
1,3,16,0,38,15,2.1,36.052,14.414,11391.45,9232.273,258.7943016
1,3,17,0,3,14.4,2.1,2.835,12.623,902.869,0,267.7756746
1,3,18,0,0,13.3,0,0,13.3,0,0,267.4702551
1,3,19,0,0,13.3,3.1,0,13.3,0,0,246.8165636
1,3,20,0,0,12.2,1.5,0,12.2,0,0,219.3292661
1,3,21,0,0,11.1,0,0,11.1,0,0,158.4249599
1,3,22,0,0,11.1,0,0,11.1,0,0,108.926008
1,3,23,0,0,10,2.1,0,10,0,0,140.6276689
1,4,0,0,0,10,1.5,0,10,0,0,112.0379958
1,4,1,0,0,10,0,0,10,0,0,102.4530549
1,4,2,0,0,10,0,0,10,0,0,100.5619298
1,4,3,0,0,10.6,3.1,0,10.6,0,0,98.88990908
1,4,4,0,0,10.6,3.1,0,10.6,0,0,104.3022948
1,4,5,0,0,10,4.1,0,10,0,0,102.5130502
1,4,6,0,0,10,3.1,0,10,0,0,150.2822336
1,4,7,0,8,9.4,0,7.759,5.559,2548.786,554.645,156.1146288
1,4,8,0,59,10,0,59.725,8.558,19366.42,17051.871,228.0733033
1,4,9,16,133,10,0,143.521,13.721,45374.418,42510.137,258.6202111
1,4,10,1,118,13.3,3.6,115.307,14.662,36390.426,33723.484,251.9816357
1,4,11,60,305,15,1.5,381.986,24.586,115111.336,110447.914,278.8473437
1,4,12,409,233,17.2,1.5,600.462,33.884,172763.563,166255.188,262.0724073
1,4,13,411,245,18.3,1.5,604.842,35.861,172207.953,165718.906,258.7415553
1,4,14,69,218,18.9,0,282.305,32.916,81624.914,77884.516,254.0097729
1,4,15,47,173,19.4,0,215.737,28.469,63584.965,60296.559,251.2954619
1,4,16,10,85,18.9,0,93.823,22.538,28433.199,25934.484,251.0025594
1,4,17,0,5,17.8,0,4.727,15.457,1486.718,0,260.1607824
1,4,18,0,0,16.1,2.1,0,16.1,0,0,261.4884586
1,4,19,0,0,15,0,0,15,0,0,251.7097044
1,4,20,0,0,14.4,1.5,0,14.4,0,0,225.2731506
1,4,21,0,0,13.9,0,0,13.9,0,0,163.6670248
1,4,22,0,0,12.8,0,0,12.8,0,0,108.9152785
1,4,23,0,0,12.8,2.1,0,12.8,0,0,140.2342566
1,5,0,0,0,12.2,1.5,0,12.2,0,0,111.8240215
1,5,1,0,0,11.7,2.6,0,11.7,0,0,101.4322381
1,5,2,0,0,11.1,1.5,0,11.1,0,0,98.97693085
1,5,3,0,0,11.1,1.5,0,11.1,0,0,96.78136917
1,5,4,0,0,11.1,4.1,0,11.1,0,0,101.5541145
1,5,5,0,0,11.1,3.1,0,11.1,0,0,99.14591191
1,5,6,0,0,11.7,4.6,0,11.7,0,0,148.422495
1,5,7,0,3,10.6,2.1,2.91,8.629,943.158,0,153.5263266
1,5,8,0,18,11.1,2.6,17.043,9.642,5500.117,3451.741,224.006695
1,5,9,0,32,11.1,3.1,30.333,10.099,9769.779,7641.44,253.3786531
1,5,10,0,71,11.7,2.6,67.451,11.644,21577.174,19218.459,243.5830305
1,5,11,0,76,12.8,2.6,72.234,12.998,22968.9,20582.135,270.4737068
1,5,12,0,189,13.9,0,187.213,19.737,57745.148,54596.27,251.3453124
1,5,13,0,200,14.4,3.1,199.685,18.004,62081.672,58829.5,246.1411315
1,5,14,0,143,13.9,3.6,140.608,15.985,44116.168,41280,239.1051752
1,5,15,0,79,13.9,1.5,75.834,14.583,23943.443,21536.926,234.1364868
1,5,16,0,23,13.9,1.5,21.787,12.663,6938.021,4862.913,232.1776594
1,5,17,0,5,13.9,1.5,4.727,11.909,1510.421,0,240.4108265
1,5,18,0,0,13.3,1.5,0,13.3,0,0,241.7221775
1,5,19,0,0,12.8,2.1,0,12.8,0,0,225.4475008
1,5,20,0,0,13.3,2.1,0,13.3,0,0,200.0688692
1,5,21,0,0,13.3,3.1,0,13.3,0,0,142.6969512
1,5,22,0,0,12.2,1.5,0,12.2,0,0,87.6365659
1,5,23,0,0,11.1,3.1,0,11.1,0,0,121.5413395
1,6,0,0,0,10.6,0,0,10.6,0,0,91.67843948
1,6,1,0,0,10.6,0,0,10.6,0,0,83.42951054
1,6,2,0,0,10,0,0,10,0,0,82.26253801
1,6,3,0,0,9.4,0,0,9.4,0,0,81.20943342
1,6,4,0,0,9.4,0,0,9.4,0,0,102.6741777
1,6,5,0,0,8.9,0,0,8.9,0,0,102.1479155
1,6,6,0,0,8.3,0,0,8.3,0,0,152.7370978
1,6,7,7,8,8.3,2.1,9.189,6.457,2862.919,863.046,148.4330348
1,6,8,31,64,8.3,3.1,80.052,8.46,25495.721,23057.551,209.6748806
1,6,9,1,128,8.9,2.1,129.672,10.69,41648.945,38867.449,235.1555057
1,6,10,356,242,11.1,2.1,524.3,23.67,157711.188,151715.734,226.5607616
1,6,11,683,169,13.3,2.6,741.025,31.439,215312.75,207235.156,256.5736393
1,6,12,693,181,14.4,3.1,787.047,33.101,227167.516,218621.297,238.9681189
1,6,13,670,193,15.6,2.1,760.43,36.116,216050.578,207944.219,236.950076
1,6,14,587,195,16.7,1.5,644.164,35.955,182380.891,175533.234,234.595743
1,6,15,561,155,16.1,1.5,499.965,31.017,142848.203,137337.578,231.8763753
1,6,16,255,82,15.6,0,195.535,25.842,55302.664,52211.156,231.0870982
1,6,17,44,5,14.4,0,18.402,14.677,4945.68,2907.557,239.2804208
1,6,18,0,0,12.8,1.5,0,12.8,0,0,241.2264429
1,6,19,0,0,11.7,0,0,11.7,0,0,217.0087128
1,6,20,0,0,11.1,0,0,11.1,0,0,189.8640085
1,6,21,0,0,10.6,2.1,0,10.6,0,0,135.434858
1,6,22,0,0,10,2.6,0,10,0,0,85.62730628
1,6,23,0,0,8.9,2.1,0,8.9,0,0,120.0071527
1,7,0,0,0,8.3,0,0,8.3,0,0,88.00073
1,7,1,0,0,8.3,2.6,0,8.3,0,0,79.88780517
1,7,2,0,0,7.8,0,0,7.8,0,0,79.00857915
