Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC_out,Electricity
1,1,0,0,0,5.6,2.1,0,5.6,0,0,33.57535218
1,1,1,0,0,5.6,2.6,0,5.6,0,0,33.57535218
1,1,2,0,0,5,2.1,0,5,0,0,33.57535218
1,1,3,0,0,6.1,2.1,0,6.1,0,0,33.57535218
1,1,4,0,0,6.1,2.1,0,6.1,0,0,33.57535218
1,1,5,0,0,6.1,2.1,0,6.1,0,0,33.57535218
1,1,6,0,0,6.1,2.1,0,6.1,0,0,33.57535218
1,1,7,1,8,6.1,0,7.967,2.247,752.504,182.307,26.17335218
1,1,8,91,47,6.7,1.5,84.566,6.945,7495.755,6794.803,18.77135218
1,1,9,824,29,9.4,2.1,484.496,20.799,40854.723,39278.949,18.77135218
1,1,10,901,53,12.2,0,685.182,39.024,54309.551,52273.594,23.79420613
1,1,11,938,72,13.9,1.5,818.749,37.7,65826,63347.141,36.88568396
1,1,12,958,79,16.1,3.6,873.346,35.887,70971.969,68280.602,32.78845842
1,1,13,708,170,16.7,3.6,762.16,34.175,62432.578,60088.922,38.8707032
1,1,14,156,261,17.2,2.1,404.074,28.556,34041.414,32675.135,36.92360929
1,1,15,12,179,17.2,1.5,195.241,22.55,16961.467,16050.823,41.7642015
1,1,16,24,70,16.7,2.1,84.835,17.765,7447.896,6747.927,34.04712412
1,1,17,7,7,14.4,0,8.194,11.914,708.168,138.779,28.64068551
1,1,18,0,0,12.2,1.5,0,12.2,0,0,33.57535218
1,1,19,0,0,11.1,1.5,0,11.1,0,0,33.57535218
1,1,20,0,0,10.6,0,0,10.6,0,0,33.57535218
1,1,21,0,0,8.9,0,0,8.9,0,0,33.57535218
1,1,22,0,0,8.3,2.6,0,8.3,0,0,33.57535218
1,1,23,0,0,6.7,2.6,0,6.7,0,0,33.57535218
1,2,0,0,0,6.1,2.1,0,6.1,0,0,38.9361842
1,2,1,0,0,5.6,2.1,0,5.6,0,0,38.9361842
1,2,2,0,0,5,3.1,0,5,0,0,38.9361842
1,2,3,0,0,5.6,2.6,0,5.6,0,0,38.9361842
1,2,4,0,0,5,2.1,0,5,0,0,38.9361842
1,2,5,0,0,3.9,0,0,3.9,0,0,41.61660021
1,2,6,0,0,4.4,0,0,4.4,0,0,106.2854358
1,2,7,53,8,4.4,0,18.768,1.011,1478.082,894.559,111.4961156
1,2,8,551,36,7.8,0,246.1,15.467,19807.717,18828.049,151.4802404
1,2,9,659,54,10.6,0,429.655,27.319,35275.879,33872.816,135.8718203
1,2,10,618,120,12.2,0,576.728,35.186,46711.762,44943.246,130.3960912
1,2,11,873,97,14.4,2.6,803.646,34.141,65782.039,63304.961,134.8563821
1,2,12,689,188,15.6,0,788.013,47.198,60501.867,58233.383,141.265761
1,2,13,388,274,16.1,0,619.915,42.469,48786.688,46947.086,144.986466
1,2,14,596,202,17.2,1.5,653.626,36.191,52788.977,50808.117,141.2535278
1,2,15,186,160,16.7,2.6,283.115,23.964,24120.719,23031.195,137.5552054
1,2,16,21,89,15.6,4.1,103.767,16.958,9177.494,8441.518,139.5721463
1,2,17,3,6,13.9,0,6.381,11.566,566.333,0,134.7513589
1,2,18,0,0,12.2,3.1,0,12.2,0,0,103.8036394
1,2,19,0,0,10.6,0,0,10.6,0,0,104.3924262
1,2,20,0,0,10,0,0,10,0,0,93.25876449
1,2,21,0,0,9.4,0,0,9.4,0,0,94.86140105
1,2,22,0,0,8.9,0,0,8.9,0,0,41.61660021
1,2,23,0,0,8.3,1.5,0,8.3,0,0,38.9361842
1,3,0,0,0,7.8,2.1,0,7.8,0,0,38.9361842
1,3,1,0,0,6.7,1.5,0,6.7,0,0,38.9361842
1,3,2,0,0,6.7,2.6,0,6.7,0,0,38.9361842
1,3,3,0,0,6.1,0,0,6.1,0,0,38.9361842
1,3,4,0,0,5.6,0,0,5.6,0,0,38.9361842
1,3,5,0,0,5,1.5,0,5,0,0,41.61660021
1,3,6,0,0,5,2.1,0,5,0,0,89.58496775
1,3,7,55,4,5,0,15.256,1.425,1127.849,550.781,101.7653177
1,3,8,543,41,6.1,2.6,250.42,10.681,20658.357,19657.525,147.963165
1,3,9,745,46,8.9,4.1,462.499,17.972,39583.523,38048.035,133.1170754
1,3,10,786,92,11.1,3.1,656.784,26.22,55478.824,53399.957,129.272722
1,3,11,759,128,12.8,2.1,754.588,32.892,62171.953,59838.516,134.3690455
1,3,12,769,133,15,0,794.377,46.57,61172.223,58877.781,137.7427153
1,3,13,489,193,15.6,0,616.013,41.922,48577.883,46745.5,137.7857464
1,3,14,20,217,15.6,0,236.249,28.264,19989.65,19005.477,132.613749
1,3,15,0,113,15.6,1.5,112.02,17.804,9959.559,9206.966,130.5671344
1,3,16,0,38,15,2.1,36.052,14.414,3254.7,2637.792,131.8458162
1,3,17,0,3,14.4,2.1,2.835,12.623,257.963,0,133.558498
1,3,18,0,0,13.3,0,0,13.3,0,0,105.5283873
1,3,19,0,0,13.3,3.1,0,13.3,0,0,104.574151
1,3,20,0,0,12.2,1.5,0,12.2,0,0,93.41917012
1,3,21,0,0,11.1,0,0,11.1,0,0,94.26630581
