Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC_Out,AC_out,Electricity
1,1,0,0,0,5.6,2.1,0,5.6,0,0,0.686182302
1,1,1,0,0,5.6,2.6,0,5.6,0,0,0.589441071
1,1,2,0,0,5,2.1,0,5,0,0,0.557633285
1,1,3,0,0,6.1,2.1,0,6.1,0,0,0.549297293
1,1,4,0,0,6.1,2.1,0,6.1,0,0,0.552879665
1,1,5,0,0,6.1,2.1,0,6.1,0,0,0.606205806
1,1,6,0,0,6.1,2.1,0,6.1,0,0,0.802979647
1,1,7,1,8,6.1,0,7.967,2.247,75.25,18.231,1.099015524
1,1,8,91,47,6.7,1.5,84.566,6.945,749.576,679.48,1.057896961
1,1,9,824,29,9.4,2.1,484.496,20.799,4085.472,3927.895,0.908615169
1,1,10,901,53,12.2,0,685.182,39.024,5430.955,5227.359,0.901794963
1,1,11,938,72,13.9,1.5,818.749,37.7,6582.6,6334.714,0.885039364
1,1,12,958,79,16.1,3.6,873.346,35.887,7097.197,6828.06,0.862599596
1,1,13,708,170,16.7,3.6,762.16,34.175,6243.258,6008.892,0.835624596
1,1,14,156,261,17.2,2.1,404.074,28.556,3404.141,3267.513,0.831357484
1,1,15,12,179,17.2,1.5,195.241,22.55,1696.147,1605.082,0.891545797
1,1,16,24,70,16.7,2.1,84.835,17.765,744.79,674.793,1.119593974
1,1,17,7,7,14.4,0,8.194,11.914,70.817,13.878,1.538110341
1,1,18,0,0,12.2,1.5,0,12.2,0,0,1.811789961
1,1,19,0,0,11.1,1.5,0,11.1,0,0,1.762819138
1,1,20,0,0,10.6,0,0,10.6,0,0,1.634984377
1,1,21,0,0,8.9,0,0,8.9,0,0,1.493870675
1,1,22,0,0,8.3,2.6,0,8.3,0,0,1.215757519
1,1,23,0,0,6.7,2.6,0,6.7,0,0,0.947037558
1,2,0,0,0,6.1,2.1,0,6.1,0,0,0.679188229
1,2,1,0,0,5.6,2.1,0,5.6,0,0,0.585431515
1,2,2,0,0,5,3.1,0,5,0,0,0.556043402
1,2,3,0,0,5.6,2.6,0,5.6,0,0,0.550579139
1,2,4,0,0,5,2.1,0,5,0,0,0.555451902
1,2,5,0,0,3.9,0,0,3.9,0,0,0.611366821
1,2,6,0,0,4.4,0,0,4.4,0,0,0.833986102
1,2,7,53,8,4.4,0,18.768,1.011,147.808,89.456,1.127318605
1,2,8,551,36,7.8,0,246.1,15.467,1980.772,1882.805,1.033947045
1,2,9,659,54,10.6,0,429.655,27.319,3527.588,3387.282,0.865642783
1,2,10,618,120,12.2,0,576.728,35.186,4671.176,4494.325,0.856822515
1,2,11,873,97,14.4,2.6,803.646,34.141,6578.204,6330.496,0.835005258
1,2,12,689,188,15.6,0,788.013,47.198,6050.187,5823.338,0.814789051
1,2,13,388,274,16.1,0,619.915,42.469,4878.668,4694.708,0.792036528
1,2,14,596,202,17.2,1.5,653.626,36.191,5278.898,5080.812,0.79223188
1,2,15,186,160,16.7,2.6,283.115,23.964,2412.072,2303.119,0.854486795
1,2,16,21,89,15.6,4.1,103.767,16.958,917.749,844.152,1.083676026
1,2,17,3,6,13.9,0,6.381,11.566,56.633,0,1.502758382
1,2,18,0,0,12.2,3.1,0,12.2,0,0,1.777479618
1,2,19,0,0,10.6,0,0,10.6,0,0,1.728574357
1,2,20,0,0,10,0,0,10,0,0,1.600128979
1,2,21,0,0,9.4,0,0,9.4,0,0,1.458263789
1,2,22,0,0,8.9,0,0,8.9,0,0,1.184555475
1,2,23,0,0,8.3,1.5,0,8.3,0,0,0.925438261
1,3,0,0,0,7.8,2.1,0,7.8,0,0,0.672112873
1,3,1,0,0,6.7,1.5,0,6.7,0,0,0.578866523
1,3,2,0,0,6.7,2.6,0,6.7,0,0,0.546316095
1,3,3,0,0,6.1,0,0,6.1,0,0,0.543345841
1,3,4,0,0,5.6,0,0,5.6,0,0,0.548195314
1,3,5,0,0,5,1.5,0,5,0,0,0.603932008
1,3,6,0,0,5,2.1,0,5,0,0,0.796278961
1,3,7,55,4,5,0,15.256,1.425,112.785,55.078,1.11513863
1,3,8,543,41,6.1,2.6,250.42,10.681,2065.836,1965.752,1.032660898
1,3,9,745,46,8.9,4.1,462.499,17.972,3958.352,3804.803,0.868059071
1,3,10,786,92,11.1,3.1,656.784,26.22,5547.882,5339.996,0.858361349
1,3,11,759,128,12.8,2.1,754.588,32.892,6217.195,5983.852,0.839556545
1,3,12,769,133,15,0,794.377,46.57,6117.222,5887.778,0.814789051
1,3,13,489,193,15.6,0,616.013,41.922,4857.788,4674.55,0.792036528
1,3,14,20,217,15.6,0,236.249,28.264,1998.965,1900.548,0.79223188
1,3,15,0,113,15.6,1.5,112.02,17.804,995.956,920.697,0.854486795
1,3,16,0,38,15,2.1,36.052,14.414,325.47,263.779,1.083676026
1,3,17,0,3,14.4,2.1,2.835,12.623,25.796,0,1.502758382
1,3,18,0,0,13.3,0,0,13.3,0,0,1.777479618
1,3,19,0,0,13.3,3.1,0,13.3,0,0,1.728574357
1,3,20,0,0,12.2,1.5,0,12.2,0,0,1.600128979
1,3,21,0,0,11.1,0,0,11.1,0,0,1.458263789
1,3,22,0,0,11.1,0,0,11.1,0,0,1.182385607
1,3,23,0,0,10,2.1,0,10,0,0,0.921361909
1,4,0,0,0,10,1.5,0,10,0,0,0.664215967
1,4,1,0,0,10,0,0,10,0,0,0.564545168
1,4,2,0,0,10,0,0,10,0,0,0.529300967
1,4,3,0,0,10.6,3.1,0,10.6,0,0,0.521627236
1,4,4,0,0,10.6,3.1,0,10.6,0,0,0.52215055
1,4,5,0,0,10,4.1,0,10,0,0,0.573951266
1,4,6,0,0,10,3.1,0,10,0,0,0.763835649
1,4,7,0,8,9.4,0,7.759,5.559,72.822,15.847,1.049710036
1,4,8,0,59,10,0,59.725,8.558,553.326,487.196,0.998895218
1,4,9,16,133,10,0,143.521,13.721,1296.412,1214.575,0.862563638
1,4,10,1,118,13.3,3.6,115.307,14.662,1039.726,963.528,0.868476269
1,4,11,60,305,15,1.5,381.986,24.586,3288.895,3155.655,0.857060309
1,4,12,409,233,17.2,1.5,600.462,33.884,4936.102,4750.148,0.818792795
1,4,13,411,245,18.3,1.5,604.842,35.861,4920.228,4734.826,0.792036528
1,4,14,69,218,18.9,0,282.305,32.916,2332.14,2225.272,0.79223188
1,4,15,47,173,19.4,0,215.737,28.469,1816.713,1722.759,0.854486795
1,4,16,10,85,18.9,0,93.823,22.538,812.377,740.985,1.083676026
1,4,17,0,5,17.8,0,4.727,15.457,42.478,0,1.502758382
1,4,18,0,0,16.1,2.1,0,16.1,0,0,1.777479618
1,4,19,0,0,15,0,0,15,0,0,1.728574357
