Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC_out,Electricity
1,1,0,0,0,5.6,2.1,0,5.6,0,0,13.72197145
1,1,1,0,0,5.6,2.6,0,5.6,0,0,9.626733615
1,1,2,0,0,5,2.1,0,5,0,0,9.65453541
1,1,3,0,0,6.1,2.1,0,6.1,0,0,9.666282344
1,1,4,0,0,6.1,2.1,0,6.1,0,0,9.811766658
1,1,5,0,0,6.1,2.1,0,6.1,0,0,13.85081694
1,1,6,0,0,6.1,2.1,0,6.1,0,0,28.31248428
1,1,7,1,8,6.1,0,7.967,2.247,150.501,36.461,27.00646057
1,1,8,91,47,6.7,1.5,84.566,6.945,1499.151,1358.961,20.74613773
1,1,9,824,29,9.4,2.1,484.496,20.799,8170.944,7855.79,20.77949475
1,1,10,901,53,12.2,0,685.182,39.024,10861.91,10454.719,25.83877353
1,1,11,938,72,13.9,1.5,818.749,37.7,13165.2,12669.429,27.01257561
1,1,12,958,79,16.1,3.6,873.346,35.887,14194.395,13656.12,26.33860506
1,1,13,708,170,16.7,3.6,762.16,34.175,12486.516,12017.784,26.3120735
1,1,14,156,261,17.2,2.1,404.074,28.556,6808.282,6535.027,21.10117408
1,1,15,12,179,17.2,1.5,195.241,22.55,3392.293,3210.165,20.97983059
1,1,16,24,70,16.7,2.1,84.835,17.765,1489.579,1349.585,21.04633882
1,1,17,7,7,14.4,0,8.194,11.914,141.634,27.756,27.82311646
1,1,18,0,0,12.2,1.5,0,12.2,0,0,28.38266275
1,1,19,0,0,11.1,1.5,0,11.1,0,0,28.51931177
1,1,20,0,0,10.6,0,0,10.6,0,0,23.48779254
1,1,21,0,0,8.9,0,0,8.9,0,0,23.38677338
1,1,22,0,0,8.3,2.6,0,8.3,0,0,23.26251962
1,1,23,0,0,6.7,2.6,0,6.7,0,0,24.39252231
1,2,0,0,0,6.1,2.1,0,6.1,0,0,13.95419527
1,2,1,0,0,5.6,2.1,0,5.6,0,0,9.655788921
1,2,2,0,0,5,3.1,0,5,0,0,9.686383143
1,2,3,0,0,5.6,2.6,0,5.6,0,0,9.699325154
1,2,4,0,0,5,2.1,0,5,0,0,9.841397451
1,2,5,0,0,3.9,0,0,3.9,0,0,13.86776361
1,2,6,0,0,4.4,0,0,4.4,0,0,28.35338303
1,2,7,53,8,4.4,0,18.768,1.011,295.616,178.912,27.0560868
1,2,8,551,36,7.8,0,246.1,15.467,3961.543,3765.61,20.79306907
1,2,9,659,54,10.6,0,429.655,27.319,7055.176,6774.563,20.82991882
1,2,10,618,120,12.2,0,576.728,35.186,9342.353,8988.649,25.86975213
1,2,11,873,97,14.4,2.6,803.646,34.141,13156.408,12660.992,27.02050683
1,2,12,689,188,15.6,0,788.013,47.198,12100.373,11646.677,26.4458107
